MaxTemp,MinTemp,Humidity,Radiation,WindSpeed,Rainfall
16.02,13.06,81.5,44.24,25.97,11.27
14.75,11.35,67.36,47.52,33.5,8.63
21.81,16.35,70.4,51.87,29.27,12.18
16.08,12.78,54.35,41.17,28.37,13.13
13.01,10.11,57.55,37.65,27.71,12.63
17.5,9.9,61.49,34.46,13.84,14.3
19.88,11.88,71.9,45.34,26.28,13.69
20.68,12.11,81.7,51.55,19.83,14.15
17.7,9.52,97.1,72.8,33.41,14.03
17.04,8.93,95.8,76,38.54,14.39
17.24,9.85,97.8,70.4,38.88,14.03
19.35,10.83,91.1,63.95,35.8,14.37
19.5,11.63,93.4,53.41,21.25,12.96
19.89,13.64,55.81,36.72,16.18,13.51
15.33,11.05,68.8,49.46,27.57,11.71
18.17,10.02,79.1,49.51,16.57,15.51
21.99,12.42,85.5,59.59,33.12,15.01
18.82,11.88,87.2,67.55,43.45,15.31
19.75,11,87,63.23,33.67,16
21.01,11.89,88.7,57.67,29.16,16.28
18.3,10.46,92.6,67.48,31.35,11.77
13.67,9.82,93.3,72.1,50.48,9.24
13.68,10.56,80.4,62.29,46.98,8.31
16.06,10.58,95.4,67.56,43.14,12.47
15.59,8.65,97.7,75,22.64,15.42
10.44,7.79,88.7,78.4,69.07,5199
14.59,9.04,95.1,72.8,47.67,16.49
19.02,9.28,97.1,70.5,27.15,17.2
21.61,10.66,92.1,61.66,16.23,17.67
22.52,12.83,71.9,44.67,16.37,12.63
17.04,10.91,87.4,55.58,29.43,13.66
15.93,8,92.6,72.2,27.63,9.41
13.94,7.42,95.6,75.4,40.55,14.6
13.48,8.2,96.2,57.06,26.91,17.38
12.68,8.42,70.3,44.02,26.37,19.42
15.26,9.73,91.9,65.95,43.39,12.2
18.57,15.73,92,54.64,40.76,11.22
19.7,15.08,79.3,57.14,34.61,16.4
22.28,15.28,90.4,53.35,16.63,15.4
22.79,17.54,80.1,54.21,34.05,15.7
28.06,19.15,81.8,47.73,18.23,12.93
23.06,18335,58.17,46.101,30.35,5194
17.39,14.11,57.49,44.91,32.64,10.23
22.59,16.67,67.83,48.94,28.67,13.98
25.95,18.62,80.2,54.55,31.91,19.18
25.15,16.9,88.2,60.69,22.94,19.88
26.47,17.32,91.5,51.41,19.68,20.27
19.86,13.4,74.4,48.7,31.6,19.54
18.82,11.18,76.7,47.14,27.41,20.02
19.08,11.78,94.3,56.68,21.03,19.71
22.17,14.04,93.2,60.01,27.4,18.94
19.75,13.95,75.8,50.46,23.95,17.06
21.45,13.69,76,49.82,26.53,20.33
23.23,14.4,80.7,53.28,20.01,21.22
26.47,15.9,85.2,49.33,10.11,21.2
27.86,17.99,51.38,30.9,13.57,16.26
30.23,19.93,52.18,28.72,9.17,21.33
32,21.41,47.57,25.16,10.3,22.7
28.6,19.85,55.11,28.56,10.9,22.08
20.28,14.28,66.73,44.52,28.81,15.86
17.1,12.93,68.93,48.64,31.68,17.34
18.88,13.52,70,50.34,33.02,22.34
19.55,13.63,80.8,51.8,31.33,17.55
20.35,15.19,64.84,43.13,29.01,17.68
24.3,18.01,64.22,39.83,23.94,21.68
22.26,14.96,93.3,57.82,34.32,23.02
19.41,12.48,95,56.16,26.8,24.45
22.23,13.28,87.6,53.55,23.62,22.93
20.06,13.64,95.3,72.8,43.51,20.02
23.1,15.71,92.4,60.76,31.46,23.78
25.08,17,78.1,49.32,29.06,24.14
26.2,18.21,78.5,53.4,29.58,23.7
26.16,20.49,55.07,25.81,5653,25.55
22.04,15.48,65.38,36.63,13.97,25.58
22.7,14.74,70,43.63,19.15,25.73
27.13,18.1,73.3,36.13,12.5,25.89
24.62,17.22,90.5,48.53,21.15,25.41
18.75,12.63,93.5,63.47,31.4,25.18
20.13,12.8,89.3,44.27,14.64,26.28
18.48,12.39,83.4,50.97,29.88,24.63
21.12,13.32,93.5,62.84,28,25.66
26.6,16.93,91.5,49.22,14.76,25.04
19.48,14.93,85.5,65.57,49.97,19.98
19.48,13.94,93.6,67.33,32.47,16.73
19.35,13.56,92.8,75.4,42.98,13.51
16.98,12.51,93.9,84,57.18,12.08
19.15,13.57,93.6,65.39,30.02,25.42
24.89,17.45,74.9,36.36,13.51,27.56
28.59,20.85,67.75,41.85,19.47,27.26
28.26,21.17,81.8,40.91,15.62,24.83
23.5,19.22,64.14,48.15,32.46,19.02
19.62,15.3,82.1,65.58,37.86,12.4
23.17,15.36,88.3,68.92,34.57,19.91
20.79,14.53,90,68.96,44.03,24.68
23.5,15.65,93.6,64.55,24.87,25.23
19.86,14.82,92.9,38.06,6985,28.73
17.75,12.55,69,42.91,19.3,28.67
16.57,12.23,60.13,42.39,28.56,17.41
15.13,10.93,87.2,62.22,42.88,17.96
19.15,12.55,86.3,53.89,26.09,15.51
20.34,15.74,71,47.63,31.95,17.45
20.35,14.11,90.3,63.58,34.66,15.98
20.55,14.12,92.1,62.37,36.73,20.49
18.95,13.87,96.3,72.5,39.79,28.2
18.9,14.1,91.1,67.1,39.59,13.09
19.68,13.89,92,62.11,28.81,16.73
23.56,16.72,85.1,46.73,26.26,28.61
25.35,17.83,77.2,45.98,21.47,27.91
27.46,19.75,84.2,41.45,13.7,28.56
25.94,20.35,49.13,31.6,18.48,27.95
28.11,21.98,65.71,41.15,28.17,26.48
29.37,21.46,74.1,47.67,17.41,24.72
31.27,23.23,71.4,42.63,15.68,28.09
23.78,19.29,89,66.01,42.09,20.22
15.68,12.91,88.8,82.3,70.8,3.558
21.13,16.03,91.3,64.56,41.08,14.28
22.72,16.82,90.1,63.59,30.6,16.39
25.62,19.05,88.9,60.21,33.84,22.03
24.63,18.91,90.7,63.69,34.84,19.62
26.36,19.68,90.5,60.86,36.23,24.4
29.89,22.45,89,48.64,21.92,26.91
28.97,21.73,76,47.91,26.11,28.65
27.2,21.2,66.98,44.82,28.71,29.53
28.26,21.23,77,41.69,19.14,30.64
28.06,20.98,66.93,37.42,17.82,30.57
29.82,21.74,60.69,34.38,15.15,30.59
30.75,22.85,60.69,33.15,14.89,30.13
31.54,23.26,68.11,39.76,16.96,29.96
31.54,22.98,81.5,52.96,28.43,24.42
