MaxTemp,MinTemp,Humidity,Radiation,WindSpeed,Rainfall,ET_PM,Sugarcane_Growth
13.22,8.58,94.6,71.1,45.15,9.12,19.56380072,Yes
17.9,9.6,96.7,73,38.75,10.4,20.16792691,Yes
16.72,13.23,86,54.07,29.09,10.4,15.03020221,Yes
15.81,9.31,88.1,67.05,34.17,10.69,18.57812511,Yes
19.65,12.95,90.3,64.24,29.76,7.28,17.84949313,Yes
20.51,13.52,89.6,56.65,18.85,6.338,15.85061696,Yes
17.41,14.03,73.3,45.34,18.52,6016,12.68900766,Yes
14.22,6.842,90,61.25,27.71,10.7,17.04087888,Yes
12.88,4645,95.4,71,34.33,11.74,266.7832118,Yes
12.9,5227,96,77.2,49.41,9.77,381.6301306,Yes
18.44,12.24,93,65.58,32.18,10.18,18.19372958,Yes
17.32,11.69,77.7,54.64,31.45,9.09,15.16603713,Yes
13.95,8.74,94.3,82.4,54.14,6.927,22.54533572,Yes
16.47,9.07,95.1,74.9,39.16,9.67,20.68750716,Yes
15.08,9.41,88.5,75.8,38.22,7.63,20.94868576,Yes
14.28,8.25,95.9,79.3,46.74,11.94,21.79821436,Yes
14.2,7.39,95.8,74.6,34.09,10.11,20.67092981,Yes
15.59,8.16,91.6,71.7,35.3,11.98,19.85221162,Yes
22.01,16.05,95.2,63.82,28.67,25.16,17.7450153,Yes
19.04,15.09,95.4,76.8,49.16,14.07,21.07895603,Yes
18.72,14.53,96.7,79.8,54.84,11,21.82435349,Yes
22.68,16.96,98.1,64.56,30.61,23.88,17.92854392,Yes
24.67,17.72,89.9,55.8,24.4,27.62,15.55753424,No
24.41,17.42,90.8,59.09,24.94,28.13,16.46909847,No
24.47,18.29,94.8,59.2,37.34,28.18,16.37010262,No
26.19,18.31,95.8,69.96,42.86,27.63,19.27801904,No
26.67,20.09,96.8,51.6,15,26.78,14.47326931,No
27.32,20.22,67.2,39.73,22.8,23.24,11.08911762,No
27.59,20.22,76.4,43.03,14.8,28.2,12.07139689,No
27.59,20.52,84.3,49.39,26.8,28.16,13.74957573,No
27.92,20.87,93.5,59.71,28.4,27.46,16.60520732,No
26.19,19.28,96.9,69.09,32.59,26.04,19.16245419,No
24.94,18.11,94.2,74.1,31.01,13.96,20.5727235,No
26.72,19.08,95.6,66.18,34.67,27.41,18.33118483,No
21.62,17.73,92,78.4,57.83,15.51,21.40165821,No
19.05,16.42,94.9,87.5,65.32,5461,23.774208,No
26.14,17.98,97.3,82.8,41.14,11.15,22.84087361,No
27.86,21.06,95.5,63.87,28.86,26.7,17.75680657,No
